key,titles-artist-youtube_link
312,"""Give It to Me""-Timbaland featuring Nelly Furtado and Justin Timberlake-https://www.youtube.com/watch?v=RgoiSJ23cSc;""Tipsy""-J-Kwon-https://www.youtube.com/watch?v=VwXeN2FsE7w;""No Tears Left to Cry""-Ariana Grande-https://www.youtube.com/watch?v=ffxKSjUwKdU;""Dance Monkey""-Tones and I-https://www.youtube.com/watch?v=q0hyYWKXF0Q;""Water""-Tyla-https://www.youtube.com/watch?v=XoiOOiuH8iI"
923,"""What's My Name?""-Rihanna featuring Drake-https://www.youtube.com/watch?v=U0CGsw6h60k;""Lunch""-Billie Eilish-https://www.youtube.com/watch?v=MB3VkzPdgLA;""For the Night""-Pop Smoke featuring Lil Baby and DaBaby-https://www.youtube.com/watch?v=Q9pjm4cNsfc;""Wishing Well""-Juice Wrld-https://www.youtube.com/watch?v=C5i-UnuUKUI;""We R Who We R""-Kesha-https://www.youtube.com/watch?v=mXvmSaE0JXA;""Where Is the Love?""-Black Eyed Peas-https://www.youtube.com/watch?v=WpYeekQkAdc;""Realize""-Colbie Caillat-https://www.youtube.com/watch?v=GlZxZ2n2zpw"
725,"""What Would You Do?""-City High-https://www.youtube.com/watch?v=LahcSFleKm8;""Sit Still, Look Pretty""-Daya-https://www.youtube.com/watch?v=uPHKkewD1G0;""Obsession (No Es Amor)""-Frankie J featuring Baby Bash-https://www.youtube.com/watch?v=hY73MQOpg-0;""Roses (Imanbek remix)""-Saint Jhn-https://www.youtube.com/watch?v=2zToEPpFEN8;""Peaches & Eggplants""-Young Nudy featuring 21 Savage-https://www.youtube.com/watch?v=pGsetzZscws"
726,"""You Should Be Sad""-Halsey-https://www.youtube.com/watch?v=8nBFqZppIF0;""Please Me""-Cardi B and Bruno Mars-https://www.youtube.com/watch?v=3y-O-4IL-PU;""She Knows""-Ne-Yo featuring Juicy J-https://www.youtube.com/watch?v=Fk1ZO_980DI;""Shadow of the Day""-Linkin Park-https://www.youtube.com/watch?v=n1PCW0C1aiM"
504,"""Family Affair""-Mary J. Blige-https://www.youtube.com/watch?v=znlFu_lemsU;""What I've Done""-Linkin Park-https://www.youtube.com/watch?v=8sgycukafqQ;""What Goes Around... Comes Around""-Justin Timberlake-https://www.youtube.com/watch?v=TOrnUquxtwA"
423,"""I Don't Wanna Live Forever""-Zayn and Taylor Swift-https://www.youtube.com/watch?v=7F37r50VUTQ;""Late Night Talking""-Harry Styles-https://www.youtube.com/watch?v=4VaqA-5aQTM;""Not Like Us""-Kendrick Lamar-https://www.youtube.com/watch?v=H58vbez_m4E;""Shut Up and Dance""-Walk the Moon-https://www.youtube.com/watch?v=6JCLY0Rlx6Q;""Worth It""-YK Osiris-https://www.youtube.com/watch?v=nPiFfJ0UTqE;""Summer Love""-Justin Timberlake-https://www.youtube.com/watch?v=-rjhH3SMQ-0"
110,"""Air Force Ones""-Nelly featuring Murphy Lee, Ali, and Kyjuan-https://www.youtube.com/watch?v=BfzsMQGqrt0;""Don't Lie""-The Black Eyed Peas-https://www.youtube.com/watch?v=WbJNkH-pDd8;""My Sacrifice""-Creed-https://www.youtube.com/watch?v=O-fyNgHdmLI;""The Woo""-Pop Smoke featuring 50 Cent and Roddy Ricch-https://www.youtube.com/watch?v=G6XthQpk8uk;""It's Over Now""-112-https://www.youtube.com/watch?v=IihCzGUEPbs;""Love Galore""-SZA featuring Travis Scott-https://www.youtube.com/watch?v=hHXfCOjb3fk;""Higher""-Creed-https://www.youtube.com/watch?v=J16lInLZRms;""Say It Right""-Nelly Furtado-https://www.youtube.com/watch?v=6JnGBs88sL0"
015,"""Cleanin' Out My Closet""-Eminem-https://www.youtube.com/watch?v=RQ9_TKayu9s;""Attention""-Charlie Puth-https://www.youtube.com/watch?v=nfs8NYg7yQM"
636,"""Escape""-Enrique Iglesias-https://www.youtube.com/watch?v=9mQJaXwGPlg;""Faded""-soulDecision featuring Thrust-https://www.youtube.com/watch?v=Y7GlV3h9lsY;""Every Chance I Get""-DJ Khaled featuring Lil Baby and Lil Durk-https://www.youtube.com/watch?v=BTivsHlVcGU;""What Was I Made For?""-Billie Eilish-https://www.youtube.com/watch?v=cW8VLC9nnTo"
225,"""Into the Night""-Santana featuring Chad Kroeger-https://www.youtube.com/watch?v=fQ9nQNx0KEs;""Ballin'""-Mustard and Roddy Ricch-https://www.youtube.com/watch?v=YS0h2-hy9rw;""I Remember Everything""-Zach Bryan featuring Kacey Musgraves-https://www.youtube.com/watch?v=ZVVvJjwzl6c;""Feels""-Calvin Harris featuring Pharrell Williams, Katy Perry and Big Sean-https://www.youtube.com/watch?v=ozv4q2ov3Mk;""Style""-Taylor Swift-https://www.youtube.com/watch?v=-CmadmM5cOk"
